data,assunto,veiculo,link,eixo_institucional,abrangencia,campus
2026-07-16,IF Baiano atualiza quadro de docentes em oito campi no interior da Bahia,O TEMPO,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNSVBYZDFIcDZYWTlOWU5RMllOb0VaaGplVTktSVN0bnplZDgzQWlYY0k4SXJDZTllSnZKMlVOYm4zY0hMd25DcXNfRllBdENvamdzNWozR0pBcXRDNXo3MVhfYW10M1Y4UFYtNHFaY1pfenhpOFY0ckNKTGFxaHJLTUc1R3VVVHlHMWpCUEYwYjJLNVV5eDJhSGhBaENsTG1HdGp1bEpjYXlyRTI1X1B3anlTRUhnUUNz0gG-AUFVX3lxTE1MNkxoZlU3VlZTMFZRd0FOZzFRalNlVWFuMGtUTVZESUVFUjVVQmR2aVNuOVJOYWc1VHYzcGluTk9HVnZtYjdncG5WTVhZUVU1S3BUVlZtWFpLdW1sSHEwSEdWa3pzdmlvRHhfLTRFa1A3YmhfSkpfdkphaVBoejFlbU83QlRKWVFuYjRmNlEzSFg2dWhEZ3FEMDRUWWVPSi1wV2RvTWE2ZFZ0OFBqY3pldWlCbkhXNTk3VkhYeVE?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa (Nacional),Geral / Não Especificado
2026-07-16,"Seinfra publica aviso de licitação para pavimentação entre Guirapá, em Pindaí, e IF Baiano, em Guanambi -",iGuanambi,https://news.google.com/rss/articles/CBMi6gFBVV95cUxPcWNrSzhKc1FFb3RpU0VqR3FLdVFFV3RwSTVvRFdfVTVzOC1ZZWlla3p4R3podnN1TU5yeU5PWmZneGxpTE01dFNELUsxOFlFZVItdnlPS2FBV0VCcGFvSnZSTHkzcTlJS2RHT1dxeUdYN3pUS1k2Si1URzZHYUNhRHFfODBoOUFUUWdIRndmaGhKZDhOMlhUcGxhdTh4RkpyQXlOSnNOTGFidkNqc3pTQUtzZTkyRlcxYTlFbjFYTEZWUXhhSEppcGExOHdVMmxHR3hpUm9Nd3hGOFFVcktXeEFJdVJsd3o2THfSAeoBQVVfeXFMT3Fja0s4SnNRRW90aVNFakdxS3VRRVd0cEk1b0RXX1U1czgtWWVpZWt6eEd6aHZzdU1OcnlOT1pmZ3hsaUxNNXRTRC1LMThZRWVSLXZ5T0thQVdFQnBhb0p2Ukx5M3E5SUtkR09XcXlHWDd6VEtZNkotVEc2R2FDYURxXzgwaDlBVFFnSEZ3ZmhoSmQ4TjJYVHBsYXU4eEZKckF5TkpzTkxhYnZDanN6U0FLc2U5MkZXMWE5RW4xWExGVlF4YUhKaXBhMTh3VTJsR0d4aVJvTXd4RjhRVXJLV3hBSXVSbHd6Nkx3?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Guanambi
2026-07-15,Clovis Marinho De Santana - tecnico - IFBA - Reitoria,redeintegra.mec.gov.br,https://news.google.com/rss/articles/CBMicEFVX3lxTE5NeEEyZkRmWjVGbnlEUDBCT01HUzZwcHBQMHhjS1hRd1F0bGJhcGhuMnpDT0o5SU9mOU45MThBZlRqOEhkT0cwYjhiU29QVXl4U1VITkt6TDM2WkdJc1hWTHdzTkRsM01YVWtIV0J0Ui0?oc=5&hl=en-US&gl=US&ceid=US:en,Ensino,Governamental,Reitoria (Salvador)
2026-07-15,IF Baiano formaliza contratação de novos professores substitutos em três campi,O TEMPO,https://news.google.com/rss/articles/CBMixgFBVV95cUxPam1sUTFKSTJyNENuVEhEUHhhdzQwVGNlNlFPMkdyZGlQRlVSTkR2TGFMWGVXeG05ZlZWcW41M3pmUENHVVZRNjdVQUZYY0stTkszem9FMVJVMUZuQkJNdmllWlZWZ09OSWJ5SVlnQngtWEVVVE9fNUxObEZuVGVBLTg4RWg0UzZoTmdjdWJhY1ZtOWQyVDlsRHhQQS1aR25oZ0NTRmFySXlIZUd4SDQtQnl0aV9ZZGxncU42dkd3djkxZE1lUVHSAcYBQVVfeXFMT2ptbFExSkkycjRDblRIRFB4YXc0MFRjZTZRTzJHcmRpUEZVUk5EdkxhTFhlV3htOWZWVnFuNTN6ZlBDR1VWUTY3VUFGWGNLLU5LM3pvRTFSVTFGbkJCTXZpZVpWVmdPTklieUlZZ0J4LVhFVVRPXzVMTmxGblRlQS04OEVoNFM2aE5nY3ViYWNWbTlkMlQ5bER4UEEtWkduaGdDU0Zhckl5SGVHeEg0LUJ5dGlfWWRsZ3FONnZHd3Y5MWRNZVFR?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa (Nacional),Geral / Não Especificado
2026-07-13,INSTITUTO FEDERAL BAIANO – CAMPUS SANTA INÊS LICENCIATURA EM GEOGRAFIA DISCIPLINA: TRABALHO DE CAMPO INTERDISCIPLINAR IV FICH,Portal eduCapes,https://news.google.com/rss/articles/CBMiogFBVV95cUxOQm50MnRWSkFrekl6dDNpZlk5ZThKTHQ2d3VEZ0x5Ri1pYkpvZ3QzTUFfMDVadDJFNUYwQktFRzFiN3R6Qk1vSl9PcF9KR1ZVMjliZ1lfNTN5TDJ1b1k0bjNxV1JmX0I4TU5IcEFaeklDRG8yS01sUzMzRERtZjVxZDRmVzBwRGNfY1k1bVBFeWRmNW0zRzhyLVp1ZFU0UzR6eWc?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Santa Inês
2026-07-13,Rita De Cassia Gaspar Carvalho - tecnico - IFBA - Reitoria,redeintegra.mec.gov.br,https://news.google.com/rss/articles/CBMid0FVX3lxTE8yaVF5WWY1M3lzOVRRcklWSjhEeFBxZnZZcEY4ZnZndnVnVWlDSUhuOUFMakFBOENOdDVWZkR2LW8xNGp2Vk5uVHkyOXJlbGN5dXFEbERrSXJ6OUoyaHV2Mk9ybmtpTTZicmxtV2pnNlE3RW9PcmVn?oc=5&hl=en-US&gl=US&ceid=US:en,Ensino,Governamental,Reitoria (Salvador)
2026-07-11,"GESTÃO DA QUALIDADE DE VIDA NO TRABALHO: PRÁTICAS ATUAIS E PERSPECTIVAS FUTURAS DO IF BAIANO, NA ÓTICA DA LEI 14.681/2023",Portal de Periódicos da UNEB,https://news.google.com/rss/articles/CBMickFVX3lxTFBqdVpWbS1tNW5fVWl4b25GZDBvSTNfM25TVzNHbFB6U3FzOFlNd3RBRDF3bjJiNEhoNHhpRHZWVG1NX3NZbl94X2xhOVE0UmtXY0tGS0k5dkFFeFNabFVEaTlZbmpFX29mWUJhUThBcENRQQ?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Geral / Não Especificado
2026-07-07,"Prefeito João Veiga comemora autorização para pavimentação entre Guirapá e IF Baiano, em Guanambi - iGuanambi",iGuanambi,https://news.google.com/rss/articles/CBMi3wFBVV95cUxOOVZMbW9vdmg2ekp3bW9HUUIwbFBzVjNnbUJUTTZyYU1OZ3FMa0hycGtPOUJoQTA2SndTWWhKQ0xUUWw5VEpPeU0wcEtMakZFcEE3T0pYdnFXeEVlWVFKek5paFVnaDN6N0JidEZCZ1FZcnBaeWlVc3ZwMk9YcWppdnpHMzJyM1loNDNoZ3YxbmYwc0psNTA2bERVR0NhN1hFM0g5WGUyVW43OTdlTzRIZFFsXzc0Z1lNLVg5X19iVDY1S2JSQWtKWXRwTjFHUkNQOUpzT3gyTGQ3b09GMXlz0gHkAUFVX3lxTE53T1RUNFVJUHJSX3hCNkNsd1VRUXk0R0VlLXNfRjNBTVZ6dUs0Yzd1QjJFd3NSUUNNU2IzVGdEekZJMV8zRWxhaS01eEV1SF91ZFdBTDhxQkFNUmJzRDV6NmE3VjlVcktVY0lwT0JkN3hsX3hQMXpVazUzWFZQR2tubVYyUFF6cHE1c1gzVnZqaXVYM1I4Y1JTYlI0cTI3NG15eXd6WGZYdDZXSHdUN0JMZFpWNWY4TEtsQ3ZYYmRISk5MdUR6UWpSTWhnSjM2T3FmM21QZk50T3pkaW10dldhLUpTdg?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Guanambi
2026-06-30,IF Baiano informa que inauguração do campus de Santo Estêvão ainda não tem data confirmada,Jornal Grande Bahia,https://news.google.com/rss/articles/CBMizAFBVV95cUxOMVotZTYxTlJFMmlFUTA4S2FyY0VmY0F5eTFpakVvZHJCYWxXcG02U1J0NU85bGZEVkhPZHJfYk9OcFdRTUhrNG12bkJJcmhyQ0tSQnZoNnczeXpkNFNOc2JDLVVPSS1SYWt4ZXdDREVOZl9GZVBwcGROMHhCOFJqQTNZTjJvd2phNE5ibkpzNVI2RGlYT3pQWk5LbHpZNFE2YlRhZUxrZHpfaHZyWHdMX3c2ZS01elpsLWRUbUR6QXMtelBvVFpZMW5FWVo?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Especializados (Nichos),Santo Estêvão
2026-06-30,"IF Baiano em Santo Estêvão tem inauguração adiada por pendências de infraestrutura, mas implantação segue em andamento",Jornal Grande Bahia,https://news.google.com/rss/articles/CBMi8AFBVV95cUxOQWI2T3I2b2ZkZ24zUDFIcGZiYVRFeVdTRGVjLUVYRTNicG1nY1VhVjlnb3VwWUltMXNvRjEyOGMxUjJNcG9jRDl4ZkkxbGJzazlDZWxLXzZRbFdzTHVJVzRiVEhOSnNOdXNMRzFVeTI3Ujk5dFNMMFpEYjVaRmpQc1lJc2tJd1h1OThyN2xiUUk5N2g1Y0JpZTRiXzVpUWtKM25KUmlUSklvcWY2NFJmcndickd5NHYyWHNmYUFVYS12d0NlSHlINEw4Y0h5Nzk3a1ByTFpCYnhieGV3anl1SjhBb0dCYk13UWJTZzl3ano?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Especializados (Nichos),Santo Estêvão
