data,assunto,veiculo,link,eixo_institucional,abrangencia,campus
2021-12-07,Bom Jesus da Lapa recebe a Semana Nacional de Controle e Combate a Leishmaniose,Notícias de Bom Jesus da Lapa,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQUUdBZ2FmeV9vSkdoa19EYXpkZFp3Qm9ld0Rtcjg4a0FyVk9fZW9UZHlVZEdwdDd5aml5bkJCMnlCUWtiaTFmQnpxRmVId0tFRHNRT25NOE9HMndzLXhuRnYzaGR2VmVJeXpUZUZVSlVUWTBUbXctcTBIQTBKTzJyRlZkaEE0VnFIVURZanZndVpFOVEtSWIwbXV6VzBHYXl2TnpNSWVLalMycmRBa1RxRHB0TE1FTlM4aWxhYkVUVVFDUVZobEszR0wtQmtDSTJLZVZfQmtwUQ?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Bom Jesus da Lapa
2021-12-06,Codevasf revitaliza nascentes do riacho Taquari em Serra do Ramalho,Notícias de Bom Jesus da Lapa,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPcFlOOVJtOU1aSGgtMFpaNWZ6M1h4dlN4eDZpdnJfNF82aWVTR2tXd0VlLV9zZWxuc0RQajRSZzZwWUdSWlJHSDY3amFNOHJxSGFfTUJaQzRpMktSTDZFeEtrLXhTeG9nYjRUZGpUZ1BNX0R2SWxiTElXeU9JQWhVWUxHaEZ0cU1ERDhJbnZxOUVuM2tWb3NQLXZPUlRtcXMwLXU1WEU3Z3RDUWpLdFBlaDhOVXc5aWxS?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Bom Jesus da Lapa
2021-12-06,Duas candidaturas concorrem ao cargo de diretor(a)-geral do IF Baiano Campus Guanambi,Agência Sertão,https://news.google.com/rss/articles/CBMikwFBVV95cUxOTnJnZWE5RS1vbHdIOFJDOE1fVFlKX0dreG9CN045dDQ0RVdSMW93MWdKbXcyR0pVbVF2RXFmRWl3QmxTSHBlUFlwLVFJNmxzUmZTVVBPRlBGMUJ0OC1jcEdJM2E5dXdNdlJHemtSRk9veC12RXhld2lBc3FTMEFxOGxXc21idndKYkR4VUFsdzVWMjjSAZMBQVVfeXFMTk5yZ2VhOUUtb2x3SDhSQzhNX1RZSl9Ha3hvQjdOOXQ0NEVXUjFvdzFnSm13MkdKVW1RdkVxZkVpd0JsU0hwZVBZcC1RSTZsc1JmU1VQT0ZQRjFCdDgtY3BHSTNhOXV3TXZSR3prUkZPb3gtdkV4ZXdpQXNxUzBBcThsV3NtYnZ3SmJEeFVBbHc1VjI4?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Guanambi
2021-12-06,Eleições diretor do campus Guanambi,Agência Sertão,https://agenciasertao.com/2021/12/06/eleicao-diretora-geral-do-if-baiano-campus-guanambi/,Institucional,Imprensa Local,Guanambi
2021-12-01,Escola Promove realiza projeto “Rua de Lazer” na Praça da Catedral em Bom Jesus da Lapa,Notícias de Bom Jesus da Lapa,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPbU5IeXc1aFNFbFFEQXpkY2dVWGNjM2FTYWh1b0dFazVJbXVyS2JMTWNnemNhZXlzNUNWaTlqMk9jRmE2UmV6OUdNLWRrR01zM0kyY0hmMFljLVhoS1hIaURFNDRzUm1lX1J6S09oRG1zNThZMFNCc3VfNVI4NlNRWGhqSXJFQnNGZlhwcnBJRG1PUXRtU211LXJFek1NMHVfWmtRZTN5VUN4d0I1NXJTVm5Qc1NBWHRaYjNCcUFlQ3prWW1WdFRobWE4UkNtS2FxQk5wX1luMzdoWVJfeWN3?oc=5&hl=en-US&gl=US&ceid=US:en,Extensão,Imprensa Local,Bom Jesus da Lapa
2021-11-30,Convênio com IPB \- Internacionalização,Conif,https://portal.conif.org.br/br/component/content/article/162-rede-federal/4467-if-baiano-e-instituto-politecnico-de-braganca-em-portugal-firmam-parceria?Itemid=609,Institucional,Institucional / Governamental,Geral / Não Especificado
2021-11-29,Busca: Teixeira de Freitas,Bnews,https://news.google.com/rss/articles/CBMiXkFVX3lxTE9GT3pfeXYxQkFVeDhOTHZ0M0VMLW9lbF9fcWp6ckFaN0UyQUdxVlFxN09XbTZ0cVlBTk9CNl9kZUp5eHF2SFpUT0ZsWjdGdldOWU1nSlV0ay1SaFVRV0E?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Regional (Bahia),Teixeira de Freitas
2021-11-29,"IF Baiano firma parceria com Instituto Politécnico de Bragança, em Portugal",Agência Sertão,https://news.google.com/rss/articles/CBMisgFBVV95cUxNQzJlVVVhWm9hSjVnRHJ5SzBXaUNKTkhxVmx3SktJZnNNMGJjYjkxMjZzeGZKYUZFU0NwUGNtMEtqZ3EtMFBXTEQ0QU5GV3MwZVVKdU0yRmk1dkoxM1pWM2toS3g0cWR6dWJEZ08xX2JRanRRRTR6VExrajRxNWFPbmhhRGhaa0F0UDVvLUNuZnFJNnJKWlpyWGpVVDFQTEZ1UnUta0Z2a2Rfc1N4OVpsOFpB0gGyAUFVX3lxTE1DMmVVVWFab2FKNWdEcnlLMFdpQ0pOSHFWbHdKS0lmc00wYmNiOTEyNnN4ZkphRkVTQ3BQY20wS2pncS0wUFdMRDRBTkZXczBlVUp1TTJGaTV2SjEzWlYza2hLeDRxZHp1YkRnTzFfYlFqdFFFNHpUTGtqNHE1YU9uaGFEaFprQXRQNW8tQ25mcUk2ckpaWnJYalVUMVBMRnVSdS1rRnZrZF9zU3g5Wmw4WkE?oc=5&hl=en-US&gl=US&ceid=US:en,Ensino,Imprensa Local,Geral / Não Especificado
2021-11-26,Catálogo,editoras.conif.org.br,https://news.google.com/rss/articles/CBMiXEFVX3lxTE02TVNzYmVhMVNCWmVobXhGNHR0Y1UzNEcwVmVLT2ZXTWtWN1R6UjVLNUpQbU5Nel92MFhxRXBsZWVOenNTVFZhYjJLRTlXLWxoS01tUVZqRGlYVTI0?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Institucional / Governamental,Geral / Não Especificado
2021-11-24,Advogados reelegem Dr. Edvard de Castro Junior como presidente da OAB em Guanambi - iGuanambi,iGuanambi,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPX3FKelFFQjd3elIyb05KSXNFd1I5R0xJSWxDTW83Rlk4d2h3MzBPV2lMUHdlUVU2cWhibDdaWGtzbFN1cS1RaWRIWjhISVVKZ29Id01VOXBLWU5qQ0xVRWwzUVJTX1JaMFNBUzd1bXBvR0Q4NW55U1R5YlZtSUxnUnpvZjRTcEMzMktzWUJTTFp2R0tKN1Nkc3htdEc5YzM1LTlYcVdyeXhCV2s0RE5BTTlkNm53cVU0RVpmZWJfYzhRVzZmVHN0bTRYNF8zNlNZZFQtd1lHOVktdUVEUHMwT3czd9IB6AFBVV95cUxObVJPTzg2V3ZBTmNyTjBveEVJUzRDWkNKcTRhSXFOTlR5S2FCYnh0eTFRUUNMTlZnYndnV3BRQWZhRy1ZS3QyUWpscnBRZWl2Z0xSQUFRdnhjN3pJdEIta3M2OThLaU9MdG1MSDJfOWJTbmJianRNZjlTSllNSnMzemVvWHlJazRsYnlESXFmaGRsZUYzRzJUaEd1UjRsdWMzZjd2Zy1hUE9Rb285NFV1SFlVTlpKVVY4SUpOWnd6X2IzZmZPSHFSTk1CR0JTWF9HWDRtNm1OX3ZCSjFrZEpfeGxkWjhvaGRF?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Guanambi
