data,assunto,veiculo,link,eixo_institucional,abrangencia,campus
2026-07-02,"Homem é preso pela PM após agredir sua companheira, a enteada e uma vizinha no Colina Verde",liberdadenews.com.br,https://news.google.com/rss/articles/CBMi1AFBVV95cUxOQVlWcE96YTNhOGlWVTlBeVJ5M3VXZldkZEJMUVZPanBvbXhHbEZBQTFNbTJYZjVVb29uN05JQjlVbmF1aHRlaEdyMTBNb0doalF5bVFKclNCWlNGdFYzN042ekVxQTNzOV9aSmNXQ2gzQzZSU2NuNHpybkFOcHdncXEya2pDMWhXTmgzYnVOWkFtLUxYMHRZQ3UtZGdFTmNPZkV2WXJDTmY2LXJJdGNpeWpGUlg3eFJHZWVQakwwRFRESE5qYlR3SFpVX2JiWGlVYnplRw?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Geral / Não Especificado
2026-07-02,Course information | Planejamento Educacional Individualizado na Educação Básica - Turma 2026B,Aprenda Mais MEC,https://news.google.com/rss/articles/CBMiZEFVX3lxTE1lTUprUFJMWkZzaVRVSlhUWnQ1ZXRyVFBqX0JkQmhtbkZJMnhiTzh0RU5uQV9zUXB6Rl85d3hiMWphRjc0eHB0VWZpWGs1MUNfOVVxcmw1bkZmaFg3aUF6aS1ERlg?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Institucional / Governamental,Geral / Não Especificado
2026-07-01,Prefeitura de Guanambi anunciou pavimentações de mais de três quilômetros de acessos em Ceraima,Agência Sertão,https://news.google.com/rss/articles/CBMizgFBVV95cUxPa3RYU3dNa3dkeTJBLTN4WmhWZUEyVnJYVVdJaGdFOUhKNjZXWTNTWEdSU0dyUlhSQnhFb09JOUw0QnNBUjJwdUdTYjdrc2tybUJST0J4SUQtNjJGV2pxUGJrVlpHME4yMnF0aW9QR0YyeDVidXBGNGdjZG1vQzQ5STZreHllVUtqQmJNX0x5V1NaSmU0WGl6ZTBEMXBHdjhTM0pRVVRBdnU0bG92WU5BTFRvS2lfVEY5OWxwb05GMjRaU296YTlROWlIaGhvZ9IBzgFBVV95cUxPa3RYU3dNa3dkeTJBLTN4WmhWZUEyVnJYVVdJaGdFOUhKNjZXWTNTWEdSU0dyUlhSQnhFb09JOUw0QnNBUjJwdUdTYjdrc2tybUJST0J4SUQtNjJGV2pxUGJrVlpHME4yMnF0aW9QR0YyeDVidXBGNGdjZG1vQzQ5STZreHllVUtqQmJNX0x5V1NaSmU0WGl6ZTBEMXBHdjhTM0pRVVRBdnU0bG92WU5BTFRvS2lfVEY5OWxwb05GMjRaU296YTlROWlIaGhvZw?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Guanambi
2026-06-30,IF Baiano informa que inauguração do campus de Santo Estêvão ainda não tem data confirmada,Jornal Grande Bahia,https://news.google.com/rss/articles/CBMizAFBVV95cUxOMVotZTYxTlJFMmlFUTA4S2FyY0VmY0F5eTFpakVvZHJCYWxXcG02U1J0NU85bGZEVkhPZHJfYk9OcFdRTUhrNG12bkJJcmhyQ0tSQnZoNnczeXpkNFNOc2JDLVVPSS1SYWt4ZXdDREVOZl9GZVBwcGROMHhCOFJqQTNZTjJvd2phNE5ibkpzNVI2RGlYT3pQWk5LbHpZNFE2YlRhZUxrZHpfaHZyWHdMX3c2ZS01elpsLWRUbUR6QXMtelBvVFpZMW5FWVo?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Especializados (Nichos),Santo Estêvão
2026-06-30,"IF Baiano em Santo Estêvão tem inauguração adiada por pendências de infraestrutura, mas implantação segue em andamento",Jornal Grande Bahia,https://news.google.com/rss/articles/CBMi8AFBVV95cUxOQWI2T3I2b2ZkZ24zUDFIcGZiYVRFeVdTRGVjLUVYRTNicG1nY1VhVjlnb3VwWUltMXNvRjEyOGMxUjJNcG9jRDl4ZkkxbGJzazlDZWxLXzZRbFdzTHVJVzRiVEhOSnNOdXNMRzFVeTI3Ujk5dFNMMFpEYjVaRmpQc1lJc2tJd1h1OThyN2xiUUk5N2g1Y0JpZTRiXzVpUWtKM25KUmlUSklvcWY2NFJmcndickd5NHYyWHNmYUFVYS12d0NlSHlINEw4Y0h5Nzk3a1ByTFpCYnhieGV3anl1SjhBb0dCYk13UWJTZzl3ano?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Especializados (Nichos),Santo Estêvão
2026-06-30,"IF Baiano desenvolve drones para agricultura, ensino e monitoramento ambiental em Guanambi",Agência Sertão,https://news.google.com/rss/articles/CBMixgFBVV95cUxOb1pIXzVKTGpTSXJPLUZEdmZWTmZ3UnNQZ3JaSTh3aW1HV09fcWRGMEZSNU5hX1c5SnZQMU5KYWpMb1U5S1NDdlRBNng3ZDNSTllLUDR0YVFhZTlYeHc3dGRhV1lOZHRMMmRxZjNNSkYxLWJuajAyNGViUS1UZ1lBelVPNGJWVWNkMWdNSjVYQTlWTGY2aW5Ha2psbXZ0ZjIzZWNFYTZuU3BialN2NmY4ZjFnVFhnVGR4M2hfa2FwVS16Z0tiZnfSAcYBQVVfeXFMTm9aSF81SkxqU0lyTy1GRHZmVk5md1JzUGdyWkk4d2ltR1dPX3FkRjBGUjVOYV9XOUp2UDFOSmFqTG9VOUtTQ3ZUQTZ4N2QzUk5ZS1A0dGFRYWU5WHh3N3RkYVdZTmR0TDJkcWYzTUpGMS1ibmowMjRlYlEtVGdZQXpVTzRiVlVjZDFnTUo1WEE5VkxmNmluR2tqbG12dGYyM2VjRWE2blNwYmpTdjZmOGYxZ1RYZ1RkeDNoX2thcFUtemdLYmZ3?oc=5&hl=en-US&gl=US&ceid=US:en,Ensino,Imprensa Local,Guanambi
2026-06-30,Primeiro boletim do El Niño prevê fenômeno forte até 2027 e menos chuva no Nordeste,Agência Sertão,https://news.google.com/rss/articles/CBMivgFBVV95cUxQbFlwVVRQUGxCX2plTVUtS0F0XzB4bTM3aDlncThxbXlKVHBna0IySXduRjVRazhaR1VoSTN5ekRsb0Z4WERnQTBCRk9IV1A1eHFvaTAwaDUxYUVLdTRPOGx1WEpra1hVUXBiUHc5YWFFdDF6S0FDR0NjRDd3c3RfLUJ6UzNTTEpWNUNpSWF5cjNUOUlNaHVCakpwOVZEYm15QkhDVkt4aGgtcERUb0dxbE05ZWxPWnBTRjNPR2130gG-AUFVX3lxTFBsWXBVVFBQbEJfamVNVS1LQXRfMHhtMzdoOWdxOHFteUpUcGdrQjJJd25GNVFrOFpHVWhJM3l6RGxvRnhYRGdBMEJGT0hXUDV4cW9pMDBoNTFhRUt1NE84bHVYSmtrWFVRcGJQdzlhYUV0MXpLQUNHQ2NEN3dzdF8tQnpTM1NMSlY1Q2lJYXlyM1Q5SU1odUJqSnA5VkRibXlCSENWS3hoaC1wRFRvR3FsTTllbE9acFNGM09HbXc?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Geral / Não Especificado
2026-06-29,MEC Normas,mecnormas.mec.gov.br,https://news.google.com/rss/articles/CBMiYkFVX3lxTFBMaTR5LWJzdDYwQXJvMTBMZFp1d09PbXZERTZEVl95YUV5RFRsb1JnSWI0NVJTTE1GeXdiQ2g4QkNWTVlXMnZyYUd6b0t4SEtxV1B3aS1Udi1mdHR1dFZ1ZWR3?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Institucional / Governamental,Geral / Não Especificado
2026-06-26,Estudante da rede estadual conquista terceira medalha de ouro em olimpíada nacional de Matemática,ba.gov.br,https://news.google.com/rss/articles/CBMixAFBVV95cUxQSEtvRkhPbmYyMVhRTmh2SkhRWDRMSVRfcG9EYVJMNVVCQjBUS0NQMUNVQ1FxUEFuVnZuMHJ3NVR4M0lFTTV1S3hOYXhPOVhpLXlydjFqVWhuemxIby02ZjRkaUN5TEd0T182dzg4RGNhQUpOUmdRSmNjNjNEbmNNZWdMOGpuM3RZQVZtSUhBeUNqZGZCcndRa1ltRktjWFNRenluV0dkM1VxRTJsYlRjSFR2MjBfaEJFclN6VHNZNmVZT3dl?oc=5&hl=en-US&gl=US&ceid=US:en,Ensino,Institucional / Governamental,Geral / Não Especificado
2026-06-26,Caetité: PRE apreende quase R$ 80 mil sem comprovação de origem em veículo na BR-030 - iGuanambi,iGuanambi,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOdzNjd3RnUHYtMWtiQ2NqQmU3WURHWm5pTlhadlBJU19kNnJGcEJlTEtyQzBlMVliSjRhc20tN1J5UExwREZ3czZwWlI5YzBSMlJuTVJrRmVZWFVpN3FOQ3FacmM3dFNGSUlRTEVjYzdjOFZDYWRSNU9TR3E4R2ZqbnFyQ0RSSmM2TWNjNzJZUlo3bjFMLWRNNGYwSlZ3ZXhWMWJFTHdjNFM5cEFCRWRxaU1BN2RmZXBIQ2QxWGRQOWh6UdIB0gFBVV95cUxNUUp6QzVrSU45TzNhaW5CSmI4UnRrajVXa3ZqSDZoZ0dXMTFid09NUjBlbmlrbGNBN1N4c3RRVks4Z1Z3V0lXT0RPWXAtQnpnMnlFaFZnZ01URk9nbkhfQTJIX3pPb2N2bno5Z0s5Um9JYWJPSTctMHMzcHBFNjZrTmx5a21xSlVWTkI5UUcxUUl1LWVGQmxvLUo1NlIwbEU0cEVSZEhzOFpXcG9vYm94TmRCV1ZqM0lWMG1xSC0xQ3hiWGVPemZTWjRaZm4tMF8tRVE?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Guanambi
2026-06-25,Deputado Charles Fernandes cobra providências urgentes para vazamentos na Barragem de Ceraíma - iGuanambi,iGuanambi,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNZ1ZwZVBZc3dBekpLZFJ3Y2taOXZTUEd5X2hudDVVdzFUdTJOdTNPOFRONl9aZXVXUHc5Q2taNDhMVUpLMEVHbC1GbGxwUnI2VTFfOHhNTy0yT0tVb3d1OFZ4anpaNUhQWUJ4dEhOYWFfeUx5T1ZjX18tTHg5Zmg4dk1Ydi1TeU1KdE9oVFQwOWlZTFNRT3ZjVS1QWEZaMEVucUphMEFsUk5IOGlNUGJPUmJXTjItOTFPZ3dXMVUxck42b2pMZnZMWHc4WXJiV1VqdjNYR1oyUTN4QmJOV2x0YdIB4AFBVV95cUxNZ1ZwZVBZc3dBekpLZFJ3Y2taOXZTUEd5X2hudDVVdzFUdTJOdTNPOFRONl9aZXVXUHc5Q2taNDhMVUpLMEVHbC1GbGxwUnI2VTFfOHhNTy0yT0tVb3d1OFZ4anpaNUhQWUJ4dEhOYWFfeUx5T1ZjX18tTHg5Zmg4dk1Ydi1TeU1KdE9oVFQwOWlZTFNRT3ZjVS1QWEZaMEVucUphMEFsUk5IOGlNUGJPUmJXTjItOTFPZ3dXMVUxck42b2pMZnZMWHc4WXJiV1VqdjNYR1oyUTN4QmJOV2x0YQ?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Guanambi
2026-06-25,"DECRETO Nº 98, DE 25 DE JUNHO DE2026",Prefeitura de Barreiras – BA,https://news.google.com/rss/articles/CBMiakFVX3lxTE05b3dQYkhqWE9oRnhJNm1obFBKSnZqdmkyMkk1VGxzZ19lZDhjUnBoazdWWkZjRzhJNHZ0UzZWN29hdTYwRjZ1WFpYTXlJRHlrWWM4cDRucTl0S25HeXdJd3pYOFJvT1FMWVE?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Institucional / Governamental,Geral / Não Especificado
2026-06-25,Boca reivindica construção de canil municipal e melhorias na iluminação no entorno do campus do Ifba,Câmara Municipal de Brumado,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQSDFIdHhOZTdlMGU2bTJwbzk0bktaTVFDMnQ0Snh0OFd0RmtodTVOdnV2RjdjOXh1cl9DWXZRMHYxOHVmY1RKdUNkcFF4ODV1YkpRUllYbEc1Yk5uNmRNd29zM0gyM0hZYUMyVldwc2NBVVFxdDFFTVBUWERGaE5qMktnZ1NNYnZOX2Q3MTNMcDBtSkNhSmRIeUZWcGFObFA5a3ZUUjVBQzRYQXlKam9sdFItZmZsQ3pWLWZ6MlVnQk5PSkhZQUhvb3FaV3dnNEpiaEJERGNfYWFwanVBMVE?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Geral / Não Especificado
2026-06-25,"Em derrota para Bolsonaro, Câmara rejeita e arquiva PEC do voto impresso - iGuanambi",iGuanambi,https://news.google.com/rss/articles/CBMiswFBVV95cUxNZ3FJRHQ3ZXVKUE93SXNEOGh4clhvdTM1c2dqRUNfSFAyN2h4WU0tZG14MmtfSi1kazUzSTkya1Q4M0s5cHF5Vjc1VVRCLUpvbWp6ODliN3p2SnZtM2tQX1ZadHo0X05TVVhOXzJBLWRkUkpHUlJPQXlvVHNiMnJQOFI0eU9PUTluU3dZeTBHcTd1cHdCZEhXVEFmc185N1lXZEFvcklheVphT0xDNXVtTEhTa9IBzwFBVV95cUxPM2F1Z0UyUnp5SDhWdHFJWFBpYXRJa29jSmJURkxqTFY3LWZHdEZ1TDhRVXpNS3hnLXdBRnFhdk1VcWZ4aDVMX2hrTEhGazBRdEVwMjRwR0ZjWnd3NFhrSlB6SURYVTlVS1VJZEpNU2ZGRHh5b2g4OXBmRmdYNVY1OU1MUGc0eVlvdFd1TDlPLWxzd0o2SEZoUW9nX1VITTl5OVFQY0ZGTUMtS3BvM3JYUzQ1eUNzNWpCa1BZWVhEVGZDYmtFbjJ2dEdLdmZINGc?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Guanambi
2026-06-22,"Codevasf, MIDR e IF Baiano firmam parceria para instalação de centro de transferência de tecnologia no Projeto Baixio de Irecê (BA)",www.gov.br,https://news.google.com/rss/articles/CBMikwJBVV95cUxPdzFPT21jdGhFS25BUlZNY0FlTG1aRHdfV1U3eWF2dlU4TDN2bmszUDlRdjFSR29xLVQ4Qk5OWnhNZkV0SlFXWWs3ajFWbng5SHQwbmhiM0J2b2wxdXVRbXVnczRiTHpRZTg2bzZkMC1Dal81SzM0eF9HSWZlTE1UOGpUR3Q4eE9RWDRBa0ZnLU1aVjJ1Q2xUYU5jbXlCdXpRWnVfQzZUaWZxWEluZGo2T2wyZlBLVUdIQUpST2U4MmZaa3k5dFFZcDVzUjJKMkJyT2pkcG93dS1kazQtbkJTZUdlZ1JHLXlxRlRFM2lXNXhGRDlvaVhiVjF2SnB0bEM1S285RUxCaXNHS2FpRExNYW1Gdw?oc=5&hl=en-US&gl=US&ceid=US:en,Pesquisa,Institucional / Governamental,Geral / Não Especificado
2026-06-21,Segunda noite da Vila de Santo Antônio reúne famílias e celebra a cultura nordestina em Alagoinhas,Se Liga Alagoinhas,https://news.google.com/rss/articles/CBMi4gFBVV95cUxNQzg5VXpjRXVRcFBmUE9EM1NBUV9VMUJWRWhVNGZLX0NfWDVDQlhsMWZGSVJDVGJRMjJMYzJhMU13dkt6eDhLT1Z6Umhab056V3E0VUdXMDhHeHluSlp5MlotM1JITmxOcTQ1TnpyS3R2aDBza1lOMEhQa29vXzlnT2hiTGJOX1RGbFd4bmUzQTZKWUdWYmJWMkFZbTVWelZmLUFzLWNLTmliWGZ1RFRIQkJUNHRzNkJ0aWlESG1TbXRmalRIa0NwdVd6VTdKVU9rQ2lJeDhCa25ydjE5UUU1ZFhB?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Alagoinhas
2026-06-20,Estrutura de saúde é ampliada para atender ao público do São João de Alagoinhas 2026,Se Liga Alagoinhas,https://news.google.com/rss/articles/CBMizwFBVV95cUxNcnFCYjdWUDY4X3pSTXVtSzJ2YmkxdkVGVUxNNHR3ZVNtaE1HV0hrY1ZNZkpxQUNqMlVnWkFWeW9YUWxIcXYyVVdsZjl0TzYzMjk0YjFYZ2gzQVp2bGJHU0o4Z3pHaU82LW1fR1RjZXJoTXgwbUNxSGhjY0NRU0UtQTh5OEdvT1hkSGE0MW1QRngtUm9tc1dFb3h6VlpIVTQxSVloMTg5UUsyZWdvYXRvRmx1THAwc2JVN0hNSnBvYS1Za3VrdXpvVjJEUWF1WlE?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Alagoinhas
2026-06-19,SMT realiza operação especial durante os festejos juninos em Alagoinhas,Se Liga Alagoinhas,https://news.google.com/rss/articles/CBMivgFBVV95cUxNOXlZQ3NWeDdRN2x6X2RGdk5sakRGclZPbXBtdTVfZzVacExEQ0k0NTVnMTQ0MUluQm5ILXJCc29IRWJla2hMMmVyRmJ6WkV2eUlDQXdWajBCNXFsbERfV1F4TnB2S2FlR05uT192MTZrRjRqV1FFY1A2bjJVRFVFWDNzQURBaHpRcDB1eHd2WE5jMnh6N0VBVGNQUUM2WVpUeFh5YWZWZ1dvWjBhZjRqZHdJQmFnQlV3UFNybk13?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Alagoinhas
2026-06-19,"Mais um jovem é morto a tiros no bairro Alto Caiçara, em Guanambi",iGuanambi,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQQXJlNHNTSDJJZC1fblB3cGFucUsyeDYzRjFLQnZZTWtiNlU0U1NsX2VUc2tDNzZTWURzUElueDF4bTduWlJ6RFFSR3VaSWRUVTRVbG1STFR6R2tSTXBoSXphcWZNclEwS3J0OFo4YkZsd3JFS2p4bDQ1anVheVJ3OXB4emxFSGF5Tk9yRERLYUhtUzRZY0JSZVFjd093eEJ0MmYwTmV1OVlyQQ?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Guanambi
2026-06-19,"Prefeitura de Alagoinhas e IF Baiano firmam parceria para impulsionar educação, inovação e desenvolvimento social",Prefeitura de Alagoinhas,https://news.google.com/rss/articles/CBMiywFBVV95cUxPVWpqNThXM0U4dFZxaDRRNlpwN3hBMmdNVkMyZ1JGWHRUMG9Ca2U3WmZNYmdiSlhLQXh4YVU2YXVtSktmT3dXSGhMcFNyY193dmxIV1MzLU9PZjNDeDllb3Axb2tydm96cmN3bHZUazRsbk94Q2pycGxjQUdqbUVCZXNpeFlBUzNGZzlzR1hTaW9GY0phMWZzV1Q3QXdwWFphUzd6SXB6U2M0cWloZGRQR25sTGR0QjlrNWJsNks5QklSZ3pXeFhmT1JPSQ?oc=5&hl=en-US&gl=US&ceid=US:en,Pesquisa,Institucional / Governamental,Alagoinhas
2026-06-19,Prefeitura de Alagoinhas formaliza doação de terreno para nova fábrica da Guttos Sorvetes,Se Liga Alagoinhas,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQcnlnVVo2SWg5SHAwS1dHSzRucGgyZDVQX3BxVzM2V0o3TkdfRU95WXFhVDVzTTlFSGdSOFptMllEQlRsUzltbUhPRTBIM0dHamRxdHEyVmVYaFF1SWdaZE9fYmVTUllGcUVyY2VYeEd4VEloZF9UMDVjV3lMRDhqMG9Tb3lhQjZjS3RqNDBneGY5UG14SWpTUzF2clNrM2pDLXFsRzYwS0ZFN01leDQ0T1RCSWJHdVNIeUQ5MlA1TlBFNG5CVE9uZDB5TXBjRmlybXgxS05n?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Alagoinhas
2026-06-19,"Prefeitura de Alagoinhas e IF Baiano firmam parceria para impulsionar educação, inovação e desenvolvimento social",Se Liga Alagoinhas,https://news.google.com/rss/articles/CBMi-gFBVV95cUxQYWhtNE9HVlkwSVVGc1dCTUVCZGo1dEp3VjhkOW84WXhzaUNVRmhnNjZmMzBYeUExbXRZOE1tenVuRE9LSHozaHdRdUlrcWRsZHJ0MW9KVmk5c2l1a0RLR3JuVDN0UWEtZ2NGRm81UFhfclphbGduSVBuczZBRHRVNExoSmZIa2pUU2dXaGc0bENMcE83ZlQ4U1M1RWtaLTRBdldrWnFiR2JDV0EwNERyaS0xY1Y4aFhONXFFZE1DTjVGSkRHSUZVS3ZxTUhySHlPR1NRbFVwUF9Ma3IySEhXbk9UNFpmeWwybWxCWnFidldkYU5VOEpMdVJn?oc=5&hl=en-US&gl=US&ceid=US:en,Pesquisa,Imprensa Local,Alagoinhas
2026-06-17,Rui Costa participa de assinatura para construção de campus do IFBA em Poções — Casa Civil,GOV.BR,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNZ0sta1VzU0Y4UEhwTmZ6OTRUeWZEdVRHX0paZDhsdmI4aGZiVGtIbTRqMVdKVEItalBNV0tSMjZZLTVyaTRUTnFJRS1nWXIxOTNCcVp4bVUzc01rZHVtcF9oYjRaUjAzM3RMbUxwd3hyd3hLTFVYZTlaMUNiVmkyc0VUUkdMMWtuUW9nLUJ1bTFaZGZUR0RJWHF1QUpVMEhsUmphcHZPb2pETE5wU3duX0JlWXN2bTRITUlDMEFsMldneC05eUVwQUEwT3JJNFVDWEFQcEFtc04?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Institucional / Governamental,Geral / Não Especificado
2026-06-16,Reitora do IF Baiano retifica portarias de nomeação e afastamento de servidores,O TEMPO,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQTGlNQnhsSXlESXJDY1lzV0FGbEFVNHFhR3B5WGtrdmdYNlBfd1BqZExuY0I0M0c0NFZ2MjYxcHc0anhPVFk3dTVJVUM1dEtBTE1qU2M1cUt3UW11Nkwyd053ZFpzLWJicjI4QTJfNFEzd1p1TkdjZFZqd3pyLVAtOVpIeG1qMExDbHY1T18tOGxOekV1TkRBMTlKVElwaDZYQ0J3VjJhZVo5b0xybndYODk1bFZQNVhhdE1xTGQwRWxrQQ?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa (Nacional),Geral / Não Especificado
2026-06-14,Prefeito de Remanso critica “promessas vazias” de ACM Neto: “Não apresentou uma única proposta para nossa região”,Blog do Eloilton Cajuhy,https://news.google.com/rss/articles/CBMi5AFBVV95cUxOcXUtTl9VS1FsdmZTaklaa1UzNFpKM04yYVYwQ2hFWjNUc0FKNG1mWTVuUjNiT3JRZlF6ZFNaQ2hfQU5xOVhwdlhKT1FBVGdkZDFHcFprQXluQXZJeEFrNmIxa1Z3RndVZEd2TzFXSUtYYzZUdFV6Q1VwaWFjVk9iUTlNQmczOGJPdGp2cVR2WWxKbEtheFhIVE1UVUxvNUFkemdhTnpaMU4yY2VRV1pXY0ttcGtqOWNrRzVsVnVvQVNSRmhZYnkzNk9SQUFGOVpWZjRoTWZ2UFFVb2dwU3RJNVFSeTk?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Remanso
2026-06-13,Parque da Cidade recebe Feira Orgânica neste sábado em Guanambi,Agência Sertão,https://news.google.com/rss/articles/CBMiowFBVV95cUxNZ3BOYmlkZzhrLUJEbDlqWEFpdGVxTWwxamN5b3F6MEJWUFJBS2JXZTd3MmNQVjJEY3FKYzdaTWxBdlFTNU1KZDlTQ2VycTNhbnNYczJsMTBlREh3NE0zSWgyS3dWay1IMkJ4YnlVR2lIU1p3RFRRckE1ZzBOSl93ZllNSklDakRMYXBDWlBJR3JPR09JQU11N0MxdE1VOU44TGpn0gGjAUFVX3lxTE1ncE5iaWRnOGstQkRsOWpYQWl0ZXFNbDFqY3lvcXowQlZQUkFLYldlN3cyY1BWMkRjcUpjN1pNbEF2UVM1TUpkOVNDZXJxM2Fuc1hzMmwxMGVESHc0TTNJaDJLd1ZrLUgyQnhieVVHaUhTWndEVFFyQTVnME5KX3dmWU1KSUNqRExhcENaUElHck9HT0lBTXU3QzF0TVU5TjhMamc?oc=5&hl=en-US&gl=US&ceid=US:en,Extensão,Imprensa Local,Guanambi
2026-06-12,"Circuito Baiano de Ginástica 2026 – Fase 1 acontece neste final de semana no IFBA Barbalho, em Salvador",ba.gov.br,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPdjlBRzgxREFUVzVvNExDUW9OVW1xTFRiWUtwcmVackhuZW5vTG5qa09iZFRYY2JhYThBdGhfQ0FnUF9Nckd6VUNZendGZEhSby1NeGx3a2VEaS1uOHRpbjZDcXlZZlUxbURXeTBfejFEYkdPVHNCdklkZm1ZZXhTV3dJVXRObHBFcVVtelR6a2J6S3FUVlR6amNtNFE0a01FNnBpTUFibUJYMVJ2Z2p5NFVVb0ZPaDhmQklVR1lma1EyWEk?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Institucional / Governamental,Reitoria (Salvador)
2026-06-12,Projeto de Orientação Profissional da Escola Promove: ex-alunos retornam como profissionais e inspiram nova geração de estudantes,Notícias de Bom Jesus da Lapa,https://news.google.com/rss/articles/CBMidkFVX3lxTE1VaWlCc3MtSk04cDVvM3pvS0R0ZWlKd1RfRWdDZjFnRlpkbmoyWGJzXzA0ZV9ybGhlR1lHMzhKazAxOXpaZmNCLVdwRWltbkdOcDJOcWtPc2xBTDhxa1kyT3pYRVlrYUVmeTZaZm9paDVfVXp1d3c?oc=5&hl=en-US&gl=US&ceid=US:en,Ensino,Imprensa Local,Bom Jesus da Lapa
2026-06-11,Luto: Professora Yoshaiana Araújo morre sofre em acidente de moto,SulBahiaNews,https://news.google.com/rss/articles/CBMingFBVV95cUxQSWtiY2JReG9QTjFITmxRS0pxXzM3UTM4bFFDV1BuRnN6S3l0clFBRUtwQm54VTk4LUpIVDh2SWhrN2RYZzA5Z2ZvSk5EdEg3ZDBLMVQtZlZoa0tlT0tCWW9zNDhvUUExbUlGLVc5aVF3UXp4bHR2S2dCRzJCbUZfVnFLZlRhQnNGQ1BiZWVaeHNncE1lYW90UnhGeEhhZw?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Geral / Não Especificado
2026-06-10,"Na Bahia, programa Asas para o Futuro leva formação em audiovisual para jovens mulheres do IFBA, em Itabuna",GOV.BR,https://news.google.com/rss/articles/CBMijAJBVV95cUxOdS15TUNFZGw2UG93YjNtWDNOc1VMVE9fTG4zZk5ibk84WHZUWlY5NkgxdjgxMGREWnhHUmt5QW5OUTBKVi1QTjJfN0p5LUd5MjROYkhuMWZHOTVmUmtpdDQzZFdNRGNkWmFMbk5KOTBEUldaMEFpRXRyNEYxUFpZb1hXdlMtVjBtT3h0RXpKRk9fNXIzVHFCWTN3OEVuQlB5UFRldHBmTjhQVDZVY3lsRmVaWXhFZ2NObFpnaVJmTjlKY2otXzdUZ09qYlV5azhYOGE1WHpGa2VDN1ZNd1lSM0VwVWx1QkRWblJWN0dfeVE2bTlldnlQRnpaSmZMUkh6a2V4WVRJOGJQdmpk?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Institucional / Governamental,Geral / Não Especificado
