data,assunto,veiculo,link,eixo_institucional,abrangencia,campus
2024-12-29,IFBAIANO abre as portas e oferece vagas para Tutores de Cursos de Especialização,PEBSP,https://news.google.com/rss/articles/CBMipgFBVV95cUxOcFpjNzVnYVN6eTkxSkxRc2oyajRLSVZJRlZRbW0zUzRRc184azFlbzlTVUdGeEZGcE9BWnNENkFDNG94bXZsbEhYWmdSWFFiTGdVOV83Zjl1NFNvdzlicG1FOGI5d0ZQUnNEWE1ZVGtfeEF1cDV4Y1RUcE1oTWhHU01JUFVMNWg5RkN1QXdpQ0F5bDE3elg1QnBXUEVDRm9aYjg0UXNB?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Geral / Não Especificado
2024-12-27,IF Baiano abriu seleção para funções de apoio e professor formador do programa Mulheres Mil,Agência Sertão,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNQ2llcDZsS2lsMDBvQ3kzSkpQbTdHMDI5MXVHWmk5SGoxMXBUOW1LRTlhd1pnT3V2anM1dEIwZGxtam5QLXFFTXBpYzJadlg0dlBfeWNZeWFqVTVCaE9sckJveVh1WF90Yy1pQlpkaWVMWkdjeTFmemRfYkU3UktqbnNac3JUUjFYai1tQTBULVJhOG1PdmdUNVFJT1FXYTRKWUNNbWpuTUxkazNLaGMzWm5mRFN0WUtjQllMSnhPbDMxOEhldk1TY9IByAFBVV95cUxNQ2llcDZsS2lsMDBvQ3kzSkpQbTdHMDI5MXVHWmk5SGoxMXBUOW1LRTlhd1pnT3V2anM1dEIwZGxtam5QLXFFTXBpYzJadlg0dlBfeWNZeWFqVTVCaE9sckJveVh1WF90Yy1pQlpkaWVMWkdjeTFmemRfYkU3UktqbnNac3JUUjFYai1tQTBULVJhOG1PdmdUNVFJT1FXYTRKWUNNbWpuTUxkazNLaGMzWm5mRFN0WUtjQllMSnhPbDMxOEhldk1TYw?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Geral / Não Especificado
2024-12-26,IF Baiano oferta 170 vagas para cursos técnicos presenciais e EaD em Itaberaba,Agência Sertão,https://news.google.com/rss/articles/CBMitwFBVV95cUxNcGYyMjNpemZCYUhURDBwY2w0YktBTVV2NlFiU0RZWmpUQTF0VmxmNGRLNDV0anE2WnNCRWtHaUlzc1Q2MFYwTi0zUDJzRFVsS1ZGS3RBcTNlRWNvM05aSVVLMThuVFRDN2M1Zy1DellrWW90bkF6NjVGZFZ6aF90Z1R2b0R4MGlwWnFWaFdfLWlzV3F2SkVYSEM0SkZxYnhLYzhXbEg5WmdPank3M0gxNk1DdzRaWTjSAbcBQVVfeXFMTXBmMjIzaXpmQmFIVEQwcGNsNGJLQU1VdjZRYlNEWVpqVEExdFZsZjRkSzQ1dGpxNlpzQkVrR2lJc3NUNjBWME4tM1Ayc0RVbEtWRkt0QXEzZUVjbzNOWklVSzE4blRUQzdjNWctQ3pZa1lvdG5BejY1RmRWemhfdGdUdm9EeDBpcFpxVmhXXy1pc1dxdkpFWEhDNEpGcWJ4S2M4V2xIOVpnT2p5NzNIMTZNQ3c0Wlk4?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Itaberaba
2024-12-20,IF Baiano oferta \- Campus Lapa 60 vagas no sisu,Notícias da Lapa,https://www.bomjesusdalapanoticias.com.br/bom-jesus-da-lapa/if-baiano-oferece-60-vagas-em-bom-jesus-da-lapa-para-2025-via-sisu/,Gestão e RH,Imprensa Local,Bom Jesus da Lapa
2024-12-20,IFBAIANO acaba de lançar Edital para 3 Cursos Técnicos EAD GRATUITOS e RECONHECIDOS!,PEBSP,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNLU9GdzhJRDhJaXRwbXZnalVhNmx5YXkwQmhEalNLQWFyRDRVV1puUjZoaEd3d3BJMk9remxSTkVwY1NaZHRWUGZBQnBXeF85RlVacjgwS0Zqc283QzFyWnIzWVdsYWdDS05HemhLbFdLNkg2U0REaGJaQ3NfOXlyX21VSGJyZjk3NzN6V29fY2xTdnBLWkdEd1Zkd2trMTdwaGV4VTMwZ1owdw?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Geral / Não Especificado
2024-12-19,IF Baiano oferta 940 vagas em 20 cursos no sisu,Agência Sertão,https://agenciasertao.com/2024/12/19/if-baiano-ofertara-940-vagas-em-20-cursos-via-sisu/,Gestão e RH,Imprensa Local,Geral / Não Especificado
2024-12-17,IF Baiano inicia inscrições para cursos técnicos EaD em Bom Jesus da Lapa e Santa Maria da Vitória,Notícias de Bom Jesus da Lapa,https://news.google.com/rss/articles/CBMi8gFBVV95cUxNQXNZTDNZR09uXy1ncmd6c2pWUjFvam1oTV9iZ01LTWZuV0NwdlBsc21WS1ZXLTl1M2pjcjNvdzQyVUxJWHo0NDA4UEJPcUJrLXhiUFlsUG51bjBWWVBIMk95OGlFLWRpNU9Md0YwTWhHZDkzcmdtRXJTeC1MQW5LWGk2MlZxZ3E5WExtZ0dOOURYZmdESHgzSE14d2RMUXYzb1pxOXpiX1RzSlNpSTlWMUhsM3cwTDNSd1diZUt3TmhuVkRsdUUxakJCREdYNGhKT3p0eWlVcUNxOXJfVlJRMkJaaHBYNGQwSFVSRFZPZlFxUQ?oc=5&hl=en-US&gl=US&ceid=US:en,Ensino,Imprensa Local,Bom Jesus da Lapa
2024-12-17,IF Baiano divulga seleção para professor de Geografia,Folha Dirigida,https://news.google.com/rss/articles/CBMiggFBVV95cUxPYnhLRmF6Yzc0VzBRZTlqNWZBRDVuUnUwMmN6YlVpanFrdkN0SmdWWE1OaDM1MDNRSEtadXhOVTg0NUFWekxkNWRSZkJkNzN2dDAyNFI5WnBnUlA4Q3dXT1poSlVreGV5ZTlQTEVRMDhubVB4eXF6UWFJM2Y3WDlMN1FR?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa (Nacional),Geral / Não Especificado
2024-12-17,IF Baiano abriu inscrições para cursos técnicos EaD em Bom Jesus da Lapa e Santa Maria da Vitória,Agência Sertão,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQRU1vdkxKU3FKRHJscTVKbktxZjZlVDVHXy15UEdtbTJ6SFR0S0dtRTYxbWZXX0k2cUJ6X2Q0TnRPalo0dktXbkFqMUpwOTZVWG1Eby1OXzVSdEZ1SUVvUUgtX2kyaXdmVDRtZFJER2VuNG9NTUdhaDM5eFNZNWQ1Q2tTZ2JyN0NPcm9pYkxJMTdLS3otaHB5OE50QW1hWHVpNnlKVkdPSktwczZHM1hLS0dlTzQxT3p3Wm56d1c2aEZTaEFRWXRVdXNtLXJkTlVv0gHQAUFVX3lxTFBFTW92TEpTcUpEcmxxNUpuS3FmNmVUNUdfLXlQR21tMnpIVHRLR21FNjFtZldfSTZxQnpfZDROdE9qWjR2S1duQWoxSnA5NlVYbURvLU5fNVJ0RnVJRW9RSC1faTJpd2ZUNG1kUkRHZW40b01NR2FoMzl4U1k1ZDVDa1NnYnI3Q09yb2liTEkxN0tLei1ocHk4TnRBbWFYdWk2eUpWR09KS3BzNkczWEtLR2VPNDFPendabnp3VzZoRlNoQVFZdFV1c20tcmROVW8?oc=5&hl=en-US&gl=US&ceid=US:en,Ensino,Imprensa Local,Bom Jesus da Lapa
2024-12-14,IF Baiano de Teixeira de Freitas é destaque entre as melhores escolas públicas da Bahia no ENEM 2023,SulBahiaNews,https://news.google.com/rss/articles/CBMizgFBVV95cUxQQzczelpOTFFWMW83N205TExaaGF2X3VFWkpqeDlFcUN4OU1ENG9BMm1HQXlTTWVMN1hqcEFiNEdWM0dlUkhNR3VoWUp2U0pNckNJNWppYVl2ZWtCU2pjbW5FSVMxOTZ3VWdHOWFHRGRkc01aUjAzcVAyQmxJZXhjWlRZZGFPNXo0Q05Neks3NVVEb21adGcwc3JZWEVISGVVRlhEUFk1ZGcxNXRMT1ZtSE5rdjVveXhsbzB4R3ZiTWc2cHNiMTU2c1p4NVQ0Zw?oc=5&hl=en-US&gl=US&ceid=US:en,Ensino,Imprensa Local,Teixeira de Freitas
