data,assunto,veiculo,link,eixo_institucional,abrangencia,campus
2022-12-31,Prosel EAD Itaberaba,Jornal Folha do Estado,https://www.jornalfolhadoestado.com/educacao/if-baiano-oferta-120-vagas-em-cursos-tecnicos-ead-em-itaberaba,Ensino,Imprensa (Nacional),Itaberaba
2022-12-30,Prosel EAD Itaberaba,Chapada Online,https://jornaldachapada.com.br/2022/12/30/chapada-ifbaiano-em-itaberaba-tem-120-vagas-em-cursos-tecnicos-ead-inscricoes-ate-3-de-fevereiro/,Ensino,Imprensa Local,Itaberaba
2022-12-29,Prosel Itaberaba,Valter Vieira,https://www.google.com/url?q=https://www.valtervieira.com.br/noticia/educacao/88585/if-baiano-campus-itaberaba-oferta-120-vagas-em-cursos-tecnicos-ead&sa=D&source=editors&ust=1789570861552339&usg=AOvVaw0-YnxLDBjl0kc40kipkbLi,Ensino,Imprensa Local,Itaberaba
2022-12-29,14 anos dos institutos,Bom Jesus da Lapa Notícias,https://www.bomjesusdalapanoticias.com.br/bahia/em-meio-a-desafios-institutos-federais-chegam-aos-14-anos-de-existencia/,Institucional,Imprensa Local,Bom Jesus da Lapa
2022-12-16,IF Baiano oferece 600 vagas para cursos EAD no norte da Bahia; veja como participar,G1,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPWEVZLVdLVWg1a184cnc0WWZaakNwbVEzQ3lWUkJ0aVhxUE9vRWQ0LVoxZE9QR0p5RFIwVk1od0lPdE04a011WmloOS1Idks5VmJodWJFby1NeVVkZWlSdjVCZ2lhdVo4ZWJQZHVtUXJ2dktlaGtrZnFOZHpUWmRZbkhjZWxHTTVoSTVXN2Q4Mk80UjhsUDJ4WllrYTc0eldseWxERUpYcjlQeE9kRWUyWGFtV0dsVHBmY0IyckhtRDBVWTlXUk5DUEF0bURoQWhZSjgw0gHiAUFVX3lxTE53dm93ak1PSkUtd216X3RJNGUxdzdrNzJlemRRYUlrclpLcmlxVTZGTkZpN3B1ZXF6V2syN3dVYUNiWm1SdVdaOEpvQzNwam5aeFlBTHpPVjBpNGFMenlidi0xZjAybldaZ1dhMFFZV0lQWHp2aXZyMnNRVUQxZ2dzNW14V3JIVUdLbm4tamkwSkJFZjVDT08wOXBFRkhsTlFfRmE0eEppLVpIZEFLcWhYSmtaamlXNlVQWGhLdXl5UWtIUWNTLUI3djA1QU5ISWw5ZVVmVWh1aWRzTjVWbmt6M3c?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa (Nacional),Geral / Não Especificado
2022-12-14,"IF Baiano abre 440 vagas em cursos técnicos EaD nos polos de Caetité, Caculé, Guanambi e Iuiu",Agência Sertão,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOSHJ5S2tNWEl5ZE1IeF9wb3o2Sm4yNUZSUTVxa2xNbWNRYVdfdDJjNXZxNkhYY1JiVnFwUzVpd0tBR1V4QlBUd1JjbExfZzY3bUg2VG5qb1EyWHlVWUtMNWhDUk1jRFNpU2lrajhGQlJCRjF2eWhDRmJPTzgxTXJUdklsRnNYYlg5clUxVWxTaENTMUs0UW1TdHh0T3VFbEJzeEFoRXY5cHNJbWhaOFlZXy15VnYxVHRURHRsVEZpczFvSUhVOGY4dtIByAFBVV95cUxOSHJ5S2tNWEl5ZE1IeF9wb3o2Sm4yNUZSUTVxa2xNbWNRYVdfdDJjNXZxNkhYY1JiVnFwUzVpd0tBR1V4QlBUd1JjbExfZzY3bUg2VG5qb1EyWHlVWUtMNWhDUk1jRFNpU2lrajhGQlJCRjF2eWhDRmJPTzgxTXJUdklsRnNYYlg5clUxVWxTaENTMUs0UW1TdHh0T3VFbEJzeEFoRXY5cHNJbWhaOFlZXy15VnYxVHRURHRsVEZpczFvSUhVOGY4dg?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Guanambi
2022-12-10,Evento Prefeitura,Prefeitura de Alagoinhas,https://www.alagoinhas.ba.gov.br/index.php/conscientizacao-educacao-e-gratidao-marcam-a-semana-de-direitos-humanos/,Extensão,Governamental,Alagoinhas
2022-12-08,Prosel Teixeira,Pimenta Blog,https://pimenta.blog.br/2022/12/08/if-baiano-oferece-105-vagas-em-cursos-tecnicos-no-campus-de-teixeira-de-freitas/,Ensino,Imprensa Local,Teixeira de Freitas
2022-12-01,Prosel Teixeira,SuldaBahiaNews,https://www.sulbahianews.com.br/if-baiano-oferta-105-vagas-em-cursos-tecnicos-integrados-ao-ensino-medio-no-campus-teixeira-de-freitas/,Ensino,Imprensa Local,Teixeira de Freitas
2022-12-01,IF Baiano oferta 105 vagas em cursos técnicos integrados ao Ensino Médio no Campus Teixeira de Freitas,SulBahiaNews,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOd0c2OEkxWGU1WVlzTnhHUmJfVUxMSXFFalpvWFA4b0RMZnluTFNqSmhQTG1RSlJjckZZTGJjdjJja2sydVM1TTdJSzFDeE8yN1JsOE0wVTZGU0NJVUo4bjRTMk9qU0U5RDg3cEkyU3FlVnhpVVJHWWgwMENhODZTeWNpODhkYkZqcEJrazJrRC05bm5qZHJHLXZBVUxYX2RQLThQeHYwVGM3dEpsbm5wQ3V6NkFsY1lDV0Nqa0tvWXNTczdjSjFIdDU5bmZEbmR2?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Teixeira de Freitas
2022-11-29,"IF Baiano ofertará 3,2 mil vagas em cursos técnicos EaD, subsequentes ao Ensino Médio em Teixeira de Freitas e região",SulBahiaNews,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPa1BPLXhzeUJEM2g4Tk5Ccmx2cGFoVnhJOEFVXzBYc2hIdk5sRGtXbmY2Mm1EZkQxMnBucURmUlpzQ1o3a1FkVWo4R2ZrQUl4QTZ2R3JQMlB1SWU3a1hqUUh1a1Y5ejBHQkZzZG5Gamt3VWU4MmI0bDdEZ2ZVRmp5ZEV6eWY3Wk5FaFV5MnZkV0RoQWNxV280M0NGN1gtNFl2bnZmQXB1TVRjT3JEODB2bDdYWTV1WGVGVEt4ZlI0TWRxcFZGZmFzZkhjNElrRFZUeHRZSDZfVU1rOTY0eFduQnJ3?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Teixeira de Freitas
2022-11-24,IF Baiano oferta 300 vagas em curso de especialização EAD,Agência Sertão,https://news.google.com/rss/articles/CBMimwFBVV95cUxQOGJzZzJNMGhSREFRWUFtSHcySEc3SVdWQWJtcnFDcTRPR1hXRXEwVWpmQUNLT2xLNm5pcEdsa1otZXpfUkozcEtYd3BEMEdxR2FGVkViVTU3MWtyYmN0SlRQUUJhczZzdGhTaE1aN1YxU3lJX3hNTDkyRjBOSXZSa0NndlAtQWh5TGw3ODNEMTFEdnZnVHRiZHB4RdIBmwFBVV95cUxQOGJzZzJNMGhSREFRWUFtSHcySEc3SVdWQWJtcnFDcTRPR1hXRXEwVWpmQUNLT2xLNm5pcEdsa1otZXpfUkozcEtYd3BEMEdxR2FGVkViVTU3MWtyYmN0SlRQUUJhczZzdGhTaE1aN1YxU3lJX3hNTDkyRjBOSXZSa0NndlAtQWh5TGw3ODNEMTFEdnZnVHRiZHB4RQ?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Geral / Não Especificado
