data,assunto,veiculo,link,eixo_institucional,abrangencia,campus
2023-12-13,Concurso do IF Baiano: editais somam 96 vagas para professor e TAE,JC Concursos,https://news.google.com/rss/articles/CBMimwFBVV95cUxOeXVSaWQwWjlTUDVGbUNWYmc2Zk9NQ0t3eWdsb0t4a0RsYVVNWkV3amhldURhejBlMi1vTzFFQzhFQU1ha2JYeVNmaXpkMTBpcWVyRVgxNE9Zckh5bUV5LVRVcm5zdGVldDVMaVFEMlc1c3ZsYjg3OWYxSnM0RFlDRUdZMWVHRGg2bDVIamk4YlJvX0lTMFZtMGdoSdIBoAFBVV95cUxOdXd6QnBGckJDMkZLRnliZTVfdVdyLXFNWHlMQ2tPX0djdWZEQTNiY3otMXFmdlNtbm5BR0Y2SmpBeGMydUxDNFZSWlpHc0p5VVZ4X1dVM08zRURrZVIyUUdMc3Q0NkhmX082MUZxU29rUHlKSEVqdEhUejRxMnU2ZEFaaGVxMmJsWnV0UW1EOWlnRy1mVTFQRE83elU0UVZw?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Especializados (Nichos),Geral / Não Especificado
2023-12-11,IF Baiano campus Valença implanta a primeira ecobarreira na bacia do rio Piau/Una,Valença Agora -,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOSE9MSXpFakJsVkFUYlQ3ZnFfNTRjZjNwT0NWZV9BMW42bHdHQm9JTmwzUXg4bF9PV2lLakV0QU9kZ3lfazRQUFNndWhCaHFYRTdtcWdhWE5HcDI5YV9vdHA0d1AyV2E4THYzV3lVZlZPTTR0NUhER3l0bG0wOHA0d05seml1VHhjQ3FzbnVGTncyY0VwYndsYWdqVHdYRHV6Z3dHbWVzY25TQQ?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Valença
2023-12-08,Professora Luzia Matos Mota foi reeleita reitora do Ifba,Agência Sertão,https://news.google.com/rss/articles/CBMimgFBVV95cUxOaDZhWklQM2UzVUlWUmFldUFjQVV6dHd5VjNNOEhMZkZBUEhhVDZRaE1ucURyLTFlTF9zbURNRDNSWW9DSlRqRm5rZDJsa0JZSUxvZ20xN0Y5NkMycGIyekFEcjAyZksxUUZkUXd6RUwwb1JQcXUwTzJUb0Z1YUQ1S0ViMFFFU2g2bmtoUHZSZHBIdVhwY0ZBRHB30gGaAUFVX3lxTE5oNmFaSVAzZTNVSVZSYWV1QWNBVXp0d3lWM004SExmRkFQSGFUNlFoTW5xRHItMWVMX3NtRE1EM1JZb0NKVGpGbmtkMmxrQllJTG9nbTE3Rjk2QzJwYjJ6QURyMDJmSzFRRmRRd3pFTDBvUlBxdTBPMlRvRnVhRDVLRWIwUUVTaDZua2hQdlJkcEh1WHBjRkFEcHc?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Geral / Não Especificado
2023-12-07,Ufob comemora 100 anos de Bom Jesus da Lapa e 10 anos de atuação na cidade,Agência Sertão,https://news.google.com/rss/articles/CBMisgFBVV95cUxNdWNnU0dUeGMxMUJ2TnBlMmlIQ2h0R1ZkNlZfZzZxYkJUU1RNNzlZdmJJX09HYmx1b3dhd1Z6ajhBajVfMU5qZElnTEVZbndTankzMk9oZUFlZ2M1RHowaVN3SUlUMllkZ2Frb0tuR2FDRnNuYnNDTGRWUzlPWDREcGpKVERvR0xlOEZBMW5uLWZBVTFNZlBJNFNRUnNDdWlMNFZrVi13NDF3cTNOMzB2QW9B0gGyAUFVX3lxTE11Y2dTR1R4YzExQnZOcGUyaUhDaHRHVmQ2Vl9nNnFiQlRTVE03OVl2YklfT0dibHVvd2F3VnpqOEFqNV8xTmpkSWdMRVlud1NqeTMyT2hlQWVnYzVEejBpU3dJSVQyWWRnYWtvS25HYUNGc25ic0NMZFZTOU9YNERwakpURG9HTGU4RkExbm4tZkFVMU1mUEk0U1FSc0N1aUw0VmtWLXc0MXdxM04zMHZBb0E?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Bom Jesus da Lapa
2023-12-05,IF Baiano recebe visita de estudantes do Colégio Estadual Medeiros Neto,Sul da Bahia News,https://www.sulbahianews.com.br/if-baiano-recebe,Ensino,Imprensa Local,Geral / Não Especificado
2023-12-05,IF Baiano recebe visita de estudantes de Medeiros Neto,SulBahiaNews,https://news.google.com/rss/articles/CBMikAFBVV95cUxPLUJkdDBKSWpsdHZsdVJkMURld2tJQ2pHVWdydHFQVWRFYlZ3bkNqR2pST0x1bzM1c1k4cjA3VHpKQjZoaC1iOXVWSkkyMXEtdjdkNDkxd0M2RDJyb0tpME03dmlvdUdSVGN1d2NGZmZXNmlZVDg2NUdnQVY5cEJsVVB2QzBoTHpEY1d4NFRGMzM?oc=5&hl=en-US&gl=US&ceid=US:en,Ensino,Imprensa Local,Geral / Não Especificado
2023-12-04,IF Baiano implementa curso superior,Agência Sertão,https://agenciasertao.com/2023/12/04/if-baiano-vai-ofertar-graduacao-em-educacao-fisica-no-campus-itapetinga/,Ensino,Imprensa Local,Geral / Não Especificado
2023-12-01,Estudante do Ifba de Vitória da Conquista foi premiada em seleção de redação da Harvard Book Prize,Agência Sertão,https://news.google.com/rss/articles/CBMi0gFBVV95cUxNMmZaM2MzTHc1c3NFLWdaX0lLenhTZTQwbDFibDF6ekJtM0gxRlBOc2NSWkVxa3hpM1pMQXY3MVROZ21OXzF2bzNhUXdXRDBrYW9FaThpN3QtU3N2T1NQZWFvbEVaRHVRUDM4bGJPeEc4WW5zYU9nOTMzSFBiMGlMMmxqRnZCbGFCT2U0dWdOcWw1VWxOa2lydm51OWRPMjhCY3dnaDJ4Qm9xVm43UmVvSk1xXzVackVJdDhaeGJlR3VhcVdmQWJUYlZ0eWNzV29KclHSAdIBQVVfeXFMTTJmWjNjM0x3NXNzRS1nWl9JS3p4U2U0MGwxYmwxenpCbTNIMUZQTnNjUlpFcWt4aTNaTEF2NzFUTmdtTl8xdm8zYVF3V0Qwa2FvRWk4aTd0LVNzdk9TUGVhb2xFWkR1UVAzOGxiT3hHOFluc2FPZzkzM0hQYjBpTDJsakZ2QmxhQk9lNHVnTnFsNVVsTmtpcnZudTlkTzI4QmN3Z2gyeEJvcVZuN1Jlb0pNcV81WnJFSXQ4WnhiZUd1YXFXZkFiVGJWdHljc1dvSnJR?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Geral / Não Especificado
2023-11-29,Aluna da rede municipal de Prado é aprovada no Ifba,Prefeitura de Prado,https://news.google.com/rss/articles/CBMikAFBVV95cUxNd2JJRlFwOEVOWkFnc0J0aktQNXVPcjNiYnRIbnBxZ0xXTUJvUXQyYVJpdGxNcVo2aFVzdmV4ZVhnVzVaZEhUOEhBUDJhM1NpMktuVmdTNGVNYnphQUF6V3F3VmNnTjZrbEVxaExUMzBFeE8zM0pSWF9PS0NpRS1wUmxZX1ROSzVGNEttWG8weV8?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Institucional / Governamental,Geral / Não Especificado
2023-11-28,"Instituto Federal Baiano tem inscrições abertas para seleção de estudantes em Alagoinhas; veja vagas, prazos e cursos",G1,https://news.google.com/rss/articles/CBMi_wFBVV95cUxOTG1ycVRZdE1fQUNybmRMbVdTRld5bUw3TWNWM054VmNoWTlTcTQ0Y2t1aEgwajVadjJEMTZCbnh6YWh0Q19DTFpEZTRBSS1OaVRTZGtHUWlwNEVKeEpNY3U3ZkZ1ckFqelJJeU1kX3NKc1dSNkEtcGRQZWJvMlplSFh3a0dWc24zSGI4aUpNVDNiankxeVkzdkFkbmxkMnVfcjJhV0R4N21BOTU1aDh6SWNFM3VWa0VpX1RPLTIxVFRzVG12cmV6RWZDWERsWGMyYlZ1LXBvWlZQNGp0YlFiYzk2amMwbVMwOEkzVjNJRmpudkFxYUY0bXFKSmVpSTjSAY4CQVVfeXFMT291WTRQUHZHZlZsMjNfTl9kemY1ZkFFd3Qyb0tLVXp5VEN2b0lmUW4tN1NpWWJFRUYxYXJhb2lpS0JLUWlyV3BaT09TbVItWFZkM0Y3T01yZmpOUTBPeURuR2ROUEdxUnp1UGgwUnR2eWQ1Y21FOWFzMmZXR1NUTlVKbVlpZTNRWDByWm56Z0IzNVBsX2NUSHI2OXNaTUY4S2JBT2c5QmFVU0pYOTA1dlBad2RqMmJybV96dVpSTHRweUNPcU9RMWJlVHJ1X0NyczB5SF9hSDFTQjVwSGQ5TVFfU3ZvSm5ROGNDZFRvNnFSclQ3SVJmLVFLQ2hEMEFYLW0tTTBoZUtxbDlxUTZ3?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa (Nacional),Alagoinhas
